Component / Template / React / Asset Name,File Path,Line Start,Line End,Clientlib Type,Recommended Fix Strategy,Finding Type,Static OK,Usage Notes,Code Usage
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/getting-certified.html,14,14,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/getting-certified.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/getting-certified.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/getting-certified.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/larry-vs-harry.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/larry-vs-harry.html,15,15,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/larry-vs-harry.html,18,18,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/men-jewelry.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/men-jewelry.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/men-jewelry.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/men-jewelry.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,7,7,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,10,10,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/smartwatches.html,30,30,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/taking-fashion-home.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/taking-fashion-home.html,14,14,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/taking-fashion-home.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/taking-fashion-home.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/taking-fashion-home.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/trending-in-grooming.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/trending-in-grooming.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/trending-in-grooming.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/trending-in-grooming.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/showcase-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/showcase-panel/variations/making-fabrics-from-food.html,43,43,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/showcase-panel."
animated-content/showcase-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/showcase-panel/variations/visual-authenticity.html,17,17,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/showcase-panel."
animated-content/showcase-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/showcase-panel/variations/world-of-change.html,32,32,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/showcase-panel."
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/blue-left-one-bar-chart.html,11,16,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/blue-two-bar-charts.html,10,10,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/stats-panel."
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/blue-two-bar-charts.html,22,27,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/blue-two-bar-charts.html,43,48,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/light-blue-two-bar-charts.html,29,38,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/light-blue-two-bar-charts.html,57,66,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/one-bar-chart.html,18,23,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/two-bar-charts.html,21,26,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/two-bar-charts.html,41,46,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/white-box-one-bar-chart.html,18,23,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/white-box-two-bar-charts.html,24,29,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
animated-content/stats-panel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/stats-panel/variations/white-box-two-bar-charts.html,44,49,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/stats-panel.
content/articlelistcategoryexplore,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/articlelistcategoryexplore/partials/article.html,2,2,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to content/articlelistcategoryexplore."
content/articlelistcategorytrending,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/articlelistcategorytrending/partials/article.html,2,2,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to content/articlelistcategorytrending."
content/articlepanel,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/articlepanel/articlepanel.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to content/articlepanel."
content/cta-banner-with-points,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/cta-banner-with-points/cta-banner-with-points.html,14,20,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to content/cta-banner-with-points.
content/embed,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/embed/embeddable/infogram/infogram.html,12,12,,Use Hash,Script,Yes,Inline script for component or page behavior,"This inline script drives component behavior or templating logic and is currently in the markup. It executes as soon as the page loads, so removing unsafe-inline will block it. This belongs to content/embed."
content/embed,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/embed/embeddable/youtube/youtuberesponsive.html,19,19,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to content/embed."
content/error-banner,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/error-banner/error-banner.html,19,19,Specific Clientlib,Migrate to Specific Clientlib,Handler,,Inline event handler attribute on an element,"This markup uses an inline event handler attribute. CSP will block inline handlers, so the logic must move into a clientlib script and bind via JavaScript. This belongs to content/error-banner."
content/gallery,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/gallery/gallery.html,26,26,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to content/gallery.
content/gallery,/ui.apps/src/main/content/jcr_root/apps/dhl/components/content/gallery/gallery.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,Style,No,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to content/gallery.
